location,house_type,sqft,bedrooms,bathrooms,furnishing,constr_info,floor_no,facing,price
"Murlipura, Jaipur, Rajasthan",['Apartments'],['850'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 23,00,000"
"Niwaru Road, Jaipur, Rajasthan",['Apartments'],['1200'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 29,00,000"
"Mayur Vihar, Jaipur, Rajasthan",['Apartments'],['850'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 22,50,000"
"Murlipura, Jaipur, Rajasthan",['Apartments'],['900'],['2'],['2'],,['Ready to Move'],['2'],['East'],"₹ 22,00,000"
"Mayur Vihar, Jaipur, Rajasthan",['Apartments'],['1200'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 28,00,000"
"Murlipura, Jaipur, Rajasthan",['Apartments'],['1200'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 29,00,000"
"Hanumant Nagar, Jaipur, Rajasthan",['Apartments'],['1200'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 27,50,000"
"Kakkanad, Kochi, Kerala",['Houses & Villas'],['1600'],['3'],['3'],['Furnished'],['Ready to Move'],['2'],['East'],"₹ 69,00,000"
"Ambala Chandigarh Expressway, Zirakpur, Punjab",['Builder Floors'],['1298'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['3'],['East'],"₹ 39,90,000"
"Manikonda, Hyderabad, Telangana",['Apartments'],['1080'],['2'],['1'],['Semi-Furnished'],['Ready to Move'],['1'],['North-East'],"₹ 50,00,000"
"Pgi, Lucknow, Uttar Pradesh",['Houses & Villas'],['1650'],['3'],['4'],['Furnished'],['Ready to Move'],['12'],['West'],"₹ 57,00,000"
"Mohishila, Asansol MC, West Bengal",['Houses & Villas'],['1100'],['2'],['2'],['Unfurnished'],['Ready to Move'],['1'],['East'],"₹ 35,00,000"
"Peelamedu, Coimbatore, Tamil Nadu",['Apartments'],['921'],['2'],['2'],['Unfurnished'],['Under Construction'],['3'],['North-East'],"₹ 45,00,000"
"Puthiyakavu, Kochi, Kerala",['Houses & Villas'],['1550'],['4'],['4'],['Furnished'],['Ready to Move'],['1'],['East'],"₹ 60,00,000"
"Peelamedu, Coimbatore, Tamil Nadu",['Apartments'],['784'],['2'],['2'],['Unfurnished'],['Under Construction'],['2'],['North-East'],"₹ 45,00,000"
"Vaishali Nagar, Jaipur, Rajasthan",['Apartments'],['900'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 20,94,567"
"Kalwar Road, Jaipur, Rajasthan",['Apartments'],['900'],['2'],,['Semi-Furnished'],,['1'],['East'],"₹ 20,99,658"
"Kalwar Road, Jaipur, Rajasthan",['Apartments'],['1200'],['3'],['2'],['Semi-Furnished'],['New Launch'],['1'],['East'],"₹ 29,99,963"
"Subbiah Colony, Tiruppur, Tamil Nadu",['Houses & Villas'],['1432'],['2'],['2'],['Unfurnished'],['Under Construction'],,['North'],"₹ 75,00,000"
"Hosur - Bagalur Road, Hosur, Tamil Nadu",['Houses & Villas'],['1400'],['2'],['2'],['Unfurnished'],['Under Construction'],['1'],['West'],"₹ 72,46,000"
"Nagondapalli, Mathigiri, Tamil Nadu",['Houses & Villas'],['950'],['2'],['2'],['Unfurnished'],['New Launch'],['0'],['South'],"₹ 33,00,000"
"Padamugal, Kochi, Kerala",['Houses & Villas'],['2900'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],,['North'],"₹ 2,15,00,000"
"Siddartha Vihar, Ghaziabad, Uttar Pradesh",['Apartments'],['2390'],['3'],['3'],['Semi-Furnished'],['New Launch'],['7'],['North-East'],"₹ 99,99,999"
"Shilphata Road, Thane, Maharashtra",['Apartments'],['1150'],['2'],['2'],['Unfurnished'],['Under Construction'],['20'],['East'],"₹ 70,00,000"
"Kalwar Road, Jaipur, Rajasthan",['Houses & Villas'],['1738'],['4'],['3'],['Semi-Furnished'],['Ready to Move'],,['West'],"₹ 39,00,000"
"Sreekaryam, Thiruvananthapuram, Kerala",['Houses & Villas'],['1350'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 45,00,000"
"Sigma IV, Greater Noida, Uttar Pradesh",['Apartments'],['2398'],['4'],['4'],['Unfurnished'],['Ready to Move'],['0'],,"₹ 80,00,000"
"Dabhoi Waghodia Ring Road, Vadodara, Gujarat",['Apartments'],['00'],['3'],['3'],['Unfurnished'],['Under Construction'],['7'],['East'],"₹ 30,51,000"
"Tarsali, Vadodara, Gujarat",['Apartments'],['00'],['3'],['3'],['Unfurnished'],['Under Construction'],['7'],['East'],"₹ 30,51,000"
"Nilamber Circle, Vadodara, Gujarat",['Apartments'],['00'],['2'],['2'],['Unfurnished'],['Ready to Move'],['1'],['West'],"₹ 35,00,000"
"Waghodia Road, Vadodara, Gujarat",['Apartments'],['00'],['3'],['3'],['Unfurnished'],['Under Construction'],['7'],['East'],"₹ 30,51,000"
"Sreekaryam, Thiruvananthapuram, Kerala",['Houses & Villas'],['1700'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 66,00,000"
"Viyyur, Thrissur, Kerala",['Houses & Villas'],['1500'],['3'],['3'],['Unfurnished'],['Under Construction'],,['East'],"₹ 42,50,000"
"Ajit Sing Nagar, Vijayawada, Andhra Pradesh",['Apartments'],['1050'],['3'],['3'],['Furnished'],['Ready to Move'],['3'],['East'],"₹ 41,00,000"
"Shilp Nagar, Udaipur, Rajasthan",['Houses & Villas'],['4500'],['4+'],['4+'],['Unfurnished'],['Ready to Move'],['3'],['South-East'],"₹ 1,30,00,000"
"Uttam Nagar, Delhi, Delhi",['Builder Floors'],['800'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 30,11,000"
"Ottapalam, Ottappalam, Kerala",['Houses & Villas'],['1500'],['3'],['3'],['Unfurnished'],['Under Construction'],,['East'],"₹ 42,50,000"
"Sadar Bazar, Gurgaon, Haryana",['Builder Floors'],['1200'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['1'],,"₹ 58,00,000"
"Magarpatta City, Pune, Maharashtra",['Apartments'],['1685'],['3'],['3'],['Furnished'],['Ready to Move'],['9'],['East'],"₹ 79,89,000"
"Kharadi, Pune, Maharashtra",['Apartments'],['1064'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['5'],['East'],"₹ 51,80,000"
"Hadapsar, Pune, Maharashtra",['Apartments'],['974'],['2'],,['Semi-Furnished'],['Ready to Move'],['9'],['East'],"₹ 52,60,000"
"Sector 85, Mohali, Punjab",['Apartments'],['2200'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['7'],['North'],"₹ 1,06,00,000"
"Akanksha Nagar, Bharuch, Gujarat",['Apartments'],['1400'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 42,50,000"
"Dwarka Mor, Delhi, Delhi",['Builder Floors'],['450'],['1'],['1'],['Semi-Furnished'],['Ready to Move'],,,"₹ 14,50,000"
"Nikol - Naroda Road, Ahmedabad, Gujarat",['Apartments'],['1395'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 41,50,000"
"Meenachil, Palai, Kerala",['Houses & Villas'],['2700'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],['0'],,"₹ 1,25,00,000"
"Garden Colony, Kharar, Punjab",['Builder Floors'],['850'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['3'],['North-East'],"₹ 18,90,000"
"Sector 105, Gurgaon, Haryana",['Builder Floors'],['1350'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 37,00,000"
