location,house_type,sqft,bedrooms,bathrooms,furnishing,constr_info,floor_no,facing,price
"Dronagiri, Navi Mumbai, Maharashtra",['Apartments'],['640'],['1'],['1'],['Unfurnished'],['Ready to Move'],['2'],['East'],"₹ 40,00,000"
"Annakudu, Thodupuzha, Kerala",['Houses & Villas'],['1950'],['4'],['4'],['Furnished'],['Ready to Move'],['1'],['East'],"₹ 65,00,000"
"Nadergul, Hyderabad, Telangana",['Houses & Villas'],['775'],['2'],['2'],['Unfurnished'],['Ready to Move'],['0'],['West'],"₹ 52,00,000"
"Dadar Kulba, Muzaffarpur, Bihar",['Houses & Villas'],['1110'],['2'],['2'],['Furnished'],['Ready to Move'],['2'],['West'],"₹ 60,00,000"
"Gopalapuram, Chennai, Tamil Nadu",['Apartments'],['800'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['South'],"₹ 85,00,000"
"Whitefield, Bengaluru, Karnataka",['Apartments'],['1110'],,,,,,['East'],"₹ 55,00,000"
"Jagieetpur, Haridwar, Uttaranchal",['Houses & Villas'],['701'],['2'],['1'],['Semi-Furnished'],['Ready to Move'],,['North'],"₹ 18,50,000"
"Kakkanad, Kochi, Kerala",['Houses & Villas'],['1600'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 66,00,000"
"Electronic City Phase II, Bengaluru, Karnataka",['Houses & Villas'],['1200'],,,,,,,"₹ 1,80,00,000"
"Kadugodi, Bengaluru, Karnataka",['Houses & Villas'],['1350'],,,,,,,"₹ 1,50,00,000"
"Rajendra Park, Gurgaon, Haryana",['Houses & Villas'],['1700'],['4'],['4'],['Furnished'],['Ready to Move'],['1'],['East'],"₹ 55,00,000"
"Veer Savarkar Nagar, Bareilly, Uttar Pradesh",['Houses & Villas'],['35'],['2'],['1'],['Semi-Furnished'],['Ready to Move'],['1'],['North-East'],"₹ 15,00,000"
"Vijaya Nagar Colony, Hyderabad, Telangana",['Apartments'],['1550'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['4'],['North'],"₹ 75,00,000"
"Borkhera, Kota, Rajasthan",['Houses & Villas'],['1250'],['3'],['2'],['Furnished'],['Under Construction'],['1'],['East'],"₹ 46,00,000"
"Mira Road East, Mumbai, Maharashtra",['Apartments'],['990'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['3'],['North-East'],"₹ 77,00,000"
"Thirumala, Thiruvananthapuram, Kerala",['Houses & Villas'],['800'],['2'],['2'],['Furnished'],['Ready to Move'],,['East'],"₹ 32,00,000"
"Keshar Bagh, Patiala, Punjab",['Houses & Villas'],['3000'],['4+'],['3'],['Furnished'],['Ready to Move'],,,"₹ 1,10,00,000"
"Rajendra Park, Gurgaon, Haryana",['Builder Floors'],['990'],['3'],['2'],['Furnished'],['Ready to Move'],['2'],['North'],"₹ 32,00,000"
"Peroor, Ettumanoor, Kerala",['Houses & Villas'],['1600'],['3'],['3'],['Furnished'],['Ready to Move'],['1'],['East'],"₹ 60,00,000"
"Nayabad, Kolkata, West Bengal",['Apartments'],['800'],['2'],['2'],['Unfurnished'],['Ready to Move'],['3'],['South'],"₹ 17,00,000"
"Kakkanad, Kochi, Kerala",['Houses & Villas'],['2100'],['4'],['4'],['Semi-Furnished'],['Under Construction'],,,"₹ 90,00,000"
"Kasaidanga, Puruliya, West Bengal",['Houses & Villas'],['891'],['1'],['1'],['Unfurnished'],['Ready to Move'],,['North'],"₹ 10,00,000"
"Thirumala, Thiruvananthapuram, Kerala",['Houses & Villas'],['1600'],['3'],['4'],['Semi-Furnished'],['Ready to Move'],,,"₹ 45,00,000"
"Shyampur, Bhubaneshwar, Odisha",['Houses & Villas'],['1300'],['3'],['2'],['Unfurnished'],['Under Construction'],['2'],['North-West'],"₹ 35,00,000"
"Rajendra Park, Gurgaon, Haryana",['Houses & Villas'],['1400'],['4'],['3'],['Furnished'],['Ready to Move'],['1'],['North-West'],"₹ 51,00,000"
"Thirumala, Thiruvananthapuram, Kerala",['Houses & Villas'],['2700'],['4+'],['4+'],['Semi-Furnished'],['Ready to Move'],,,"₹ 1,05,00,000"
"Vattiyoorkavu, Thiruvananthapuram, Kerala",['Houses & Villas'],['2100'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],,,"₹ 85,00,000"
"Santoshi Nagar, Raipur, Chhattisgarh",['Houses & Villas'],['800'],['2'],['2'],['Unfurnished'],['Ready to Move'],['1'],['East'],"₹ 27,00,000"
"Vattiyoorkavu, Thiruvananthapuram, Kerala",['Houses & Villas'],['2100'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],,,"₹ 90,00,000"
"Thirumala, Thiruvananthapuram, Kerala",['Houses & Villas'],['1600'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],,,"₹ 48,00,000"
"Ajit Sing Nagar, Vijayawada, Andhra Pradesh",['Houses & Villas'],['690'],['2'],['2'],['Furnished'],['Ready to Move'],['2'],['East'],"₹ 45,00,000"
"Basni Phase I, Jodhpur, Rajasthan",['Houses & Villas'],['2000'],['4+'],['4+'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 55,00,000"
"Dwarka Mor, Delhi, Delhi",['Builder Floors'],['850'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['South-East'],"₹ 42,00,000"
"Raj Nagar Extension, Ghaziabad, Uttar Pradesh",['Apartments'],['1421'],['3'],['2'],['Furnished'],['Ready to Move'],['6'],['East'],"₹ 55,00,000"
"Kayamkulam, Bharanikkavu, Kerala",['Houses & Villas'],['4500'],['1'],['1'],['Unfurnished'],['Ready to Move'],,['West'],"₹ 28,00,000"
"Palghar Industrial Area, Palghar, Maharashtra",['Houses & Villas'],['2500'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],['0'],['East'],"₹ 1,60,00,000"
"Tagore Nagar, Bhopal, Madhya Pradesh",['Houses & Villas'],['1500'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],,['North'],"₹ 65,00,000"
"Kanathur, Chennai, Tamil Nadu",['Apartments'],['2783'],['3'],['3'],['Unfurnished'],['Ready to Move'],['1'],['South'],"₹ 1,80,00,000"
"Santoshi Nagar, Raipur, Chhattisgarh",['Houses & Villas'],['600'],['2'],['1'],['Unfurnished'],['Ready to Move'],['1'],['South'],"₹ 20,00,000"
"Kakkanad, Kochi, Kerala",['Houses & Villas'],['1689'],['4'],['3'],['Furnished'],['Ready to Move'],,,"₹ 65,00,000"
"Edapally, Kochi, Kerala",['Houses & Villas'],['1800'],['4'],['4'],['Furnished'],['Ready to Move'],,,"₹ 65,00,000"
"Rajendra Park, Gurgaon, Haryana",['Houses & Villas'],['1300'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['North'],"₹ 36,00,000"
"Badangpet, Hyderabad, Telangana",,,,,,,,,"₹ 99,00,000"
"Model Town, Jalandhar, Punjab",['Houses & Villas'],['6000'],['4+'],['4+'],['Semi-Furnished'],['Ready to Move'],['2'],,"₹ 2,60,00,000"
"Eenadu, Vijayawada, Andhra Pradesh",['Houses & Villas'],['1400'],['2'],['2'],['Unfurnished'],['New Launch'],['1'],['North'],"₹ 45,00,000"
"Kakkanad, Kochi, Kerala",['Houses & Villas'],['1000'],['2'],['2'],['Furnished'],['Ready to Move'],,,"₹ 28,00,000"
"Sector 4 Gurgaon, Gurgaon, Haryana",['Builder Floors'],['1300'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['1'],['North-East'],"₹ 71,00,000"
"Nedumbassery, Kochi, Kerala",['Houses & Villas'],['2600'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],,['East'],"₹ 1,00,00,000"
"Kakkanad, Kochi, Kerala",['Houses & Villas'],['1475'],['3'],['3'],['Furnished'],['Ready to Move'],,,"₹ 55,00,000"
"Canara Bank Colony, Vijayawada, Andhra Pradesh",['Houses & Villas'],['1400'],['2'],['2'],['Unfurnished'],['Under Construction'],['1'],['North-East'],"₹ 45,00,000"
"American Hospital, Vijayawada, Andhra Pradesh",['Houses & Villas'],['1000'],['2'],['2'],['Furnished'],['Under Construction'],['1'],['East'],"₹ 35,00,000"
"Uttam Nagar, Delhi, Delhi",['Builder Floors'],['550'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['North-East'],"₹ 20,00,000"
"Uttam Nagar, Delhi, Delhi",['Builder Floors'],['400'],['1'],['1'],['Semi-Furnished'],['Ready to Move'],['1'],['North-East'],"₹ 12,75,000"
"Uttam Nagar, Delhi, Delhi",['Builder Floors'],['700'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['North'],"₹ 32,00,000"
"Vaishali Nagar, Jaipur, Rajasthan",['Builder Floors'],['1322'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['North'],"₹ 31,99,999"
"Vaishali Nagar, Jaipur, Rajasthan",['Houses & Villas'],['1848'],['4'],['3'],['Semi-Furnished'],['Ready to Move'],,['East'],"₹ 60,00,000"
"Vaishali Nagar, Jaipur, Rajasthan",['Houses & Villas'],['1700'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,['West'],"₹ 55,00,000"
"Nangiarkulangara, Chingoli, Kerala",['Houses & Villas'],['1138'],['2'],['1'],['Semi-Furnished'],['Ready to Move'],,['North'],"₹ 60,00,000"
"Salappa Layout VS Garden, Bengaluru, Karnataka",['Houses & Villas'],['18528'],['4+'],['4+'],['Semi-Furnished'],['Ready to Move'],,['East'],"₹ 6,35,00,000"
"Sector 127, Mohali, Punjab",['Builder Floors'],['900'],['2'],['2'],['Furnished'],['Ready to Move'],['2'],['East'],"₹ 24,90,000"
"Uttam Nagar, Delhi, Delhi",['Builder Floors'],['400'],['1'],['1'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 9,90,000"
"Uttam Nagar, Delhi, Delhi",['Builder Floors'],['500'],['2'],['1'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 14,90,000"
"Kazhakoottam, Thiruvananthapuram, Kerala",['Houses & Villas'],['1400'],['3'],['3'],['Semi-Furnished'],['New Launch'],,['North'],"₹ 55,00,000"
"Uttam Nagar, Delhi, Delhi",['Builder Floors'],['603'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['North'],"₹ 29,25,000"
"Uttam Nagar, Delhi, Delhi",['Builder Floors'],['521'],['2'],['2'],,['Ready to Move'],['3'],['South'],"₹ 24,21,000"
"Kazhakoottam, Thiruvananthapuram, Kerala",['Houses & Villas'],['1450'],['3'],['3'],['Semi-Furnished'],['New Launch'],,['East'],"₹ 50,00,000"
"Kapurai, Vadodara, Gujarat",['Apartments'],['1066'],['2'],['2'],['Unfurnished'],['Under Construction'],,,"₹ 18,49,998"
"Kapurai, Vadodara, Gujarat",['Apartments'],['1066'],['2'],['2'],['Unfurnished'],['Under Construction'],,,"₹ 18,49,999"
"Kakkanad, Kochi, Kerala",['Houses & Villas'],['1999'],['4'],['4'],['Furnished'],['Ready to Move'],,,"₹ 85,00,000"
"Chanda Nagar, Hyderabad, Telangana",['Apartments'],['1560'],['3'],['2'],['Unfurnished'],['Ready to Move'],['3'],['East'],"₹ 85,00,000"
"Tirurangadi Town, Tirurangadi, Kerala",['Houses & Villas'],['1000'],['3'],['1'],['Unfurnished'],['Ready to Move'],,['East'],"₹ 35,00,000"
"Sector 18, Noida, Uttar Pradesh",['Farm Houses'],['2000'],['4+'],['4+'],['Semi-Furnished'],['Ready to Move'],,['North-East'],"₹ 1,50,00,000"
"Rohta, Agra, Uttar Pradesh",['Houses & Villas'],['594'],['2'],['1'],['Semi-Furnished'],['Under Construction'],,['North'],"₹ 21,00,000"
"Nehru Nagar, Thrissur, Kerala",['Houses & Villas'],['2000'],['4'],['4+'],['Furnished'],['New Launch'],['2'],['East'],"₹ 9,90,00,000"
"Cherukulam, Kozhikode, Kerala",['Houses & Villas'],['2000'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 58,00,000"
"Annapurna Nagar, Guntur, Andhra Pradesh",['Apartments'],['1200'],['2'],['2'],['Furnished'],['Ready to Move'],['1'],['North-West'],"₹ 36,00,000"
"Dombivli East, Thane, Maharashtra",['Apartments'],['615'],['1'],['1'],['Unfurnished'],['Under Construction'],['03'],['East'],"₹ 49,99,000"
"Varapuzha, Kochi, Kerala",['Houses & Villas'],['1403'],['3'],['3'],['Furnished'],['Ready to Move'],,,"₹ 51,00,000"
"Edapally, Kochi, Kerala",['Houses & Villas'],['2007'],['4'],['4'],,['Ready to Move'],,,"₹ 75,00,000"
"Shivajee Nagar, Jabalpur, Madhya Pradesh",['Houses & Villas'],['400'],['2'],['1'],['Furnished'],['Ready to Move'],['1'],['North'],"₹ 11,00,000"
"Kakkanad, Kochi, Kerala",['Houses & Villas'],['1900'],['3'],['3'],['Furnished'],['Ready to Move'],,,"₹ 75,00,000"
"Assissi Nagar, Aluva, Kerala",['Houses & Villas'],['2305'],['4'],['4'],['Furnished'],['Ready to Move'],,,"₹ 78,00,000"
"Thirumala, Thiruvananthapuram, Kerala",['Houses & Villas'],['1500'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 41,00,000"
"Thirumullaivoyal, Chennai, Tamil Nadu",['Apartments'],['900'],['2'],['2'],['Unfurnished'],['Ready to Move'],['1'],['East'],"₹ 29,50,000"
"Thirumala, Thiruvananthapuram, Kerala",['Houses & Villas'],['1000'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 37,00,000"
"Varapuzha, Kochi, Kerala",['Houses & Villas'],['1735'],['4'],['4'],['Furnished'],['Ready to Move'],,,"₹ 60,00,000"
"Punkunnam, Thrissur, Kerala",['Apartments'],['1050'],['2'],['2'],['Unfurnished'],['Ready to Move'],['8'],['East'],"₹ 37,00,000"
"Baguiati, Kolkata, West Bengal",['Builder Floors'],['835'],['2'],['2'],['Unfurnished'],['Ready to Move'],['4'],['East'],"₹ 22,00,000"
"Uttam Nagar, Delhi, Delhi",['Builder Floors'],['370'],['1'],['1'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 14,50,000"
"Omaxe Township, Ludhiana, Punjab",['Apartments'],['4276'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],['5'],['North'],"₹ 2,70,00,000"
"Edapally, Kochi, Kerala",['Houses & Villas'],['3000'],['4'],['4'],['Furnished'],['Ready to Move'],,,"₹ 3,50,00,000"
"Thirumala, Thiruvananthapuram, Kerala",['Houses & Villas'],['2600'],['4'],['4+'],['Semi-Furnished'],['Ready to Move'],,,"₹ 82,00,000"
"Venkateshwara Colony, Mahbubnagar, Telangana",['Houses & Villas'],['2700'],['4'],['3'],['Unfurnished'],['Ready to Move'],['1'],['East'],"₹ 40,000"
"Varapuzha, Kochi, Kerala",['Houses & Villas'],['1399'],['3'],['3'],['Furnished'],['Ready to Move'],,,"₹ 55,00,000"
"Edapally, Kochi, Kerala",['Houses & Villas'],['1850'],['3'],['3'],['Furnished'],['Ready to Move'],,,"₹ 73,00,000"
"Pukkattupady, Choornikkara, Kerala",['Houses & Villas'],['1441'],['3'],['3'],['Furnished'],['Ready to Move'],,,"₹ 44,99,999"
"Santoshi Nagar, Raipur, Chhattisgarh",['Houses & Villas'],['500'],['2'],['2'],['Unfurnished'],['Ready to Move'],['1'],['North'],"₹ 18,00,000"
"Varapuzha, Kochi, Kerala",['Houses & Villas'],['900'],['2'],['2'],['Furnished'],['Ready to Move'],,,"₹ 40,00,000"
"Kalwar Road, Jaipur, Rajasthan",['Apartments'],['900'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 20,96,666"
"Kuttiadi, Kozhikode, Kerala",['Houses & Villas'],['1500'],['3'],['2'],['Furnished'],,,,"₹ 4,00,000"
,,,,,,,,,
"Thirumala, Thiruvananthapuram, Kerala",['Apartments'],['1900'],['3'],['4'],['Furnished'],['Ready to Move'],,,"₹ 55,00,000"
"Kakkanad, Kochi, Kerala",['Houses & Villas'],['1800'],['3'],['3'],['Furnished'],['Ready to Move'],,,"₹ 65,00,000"
"Assissi Nagar, Aluva, Kerala",['Houses & Villas'],['1850'],['4'],['4'],['Furnished'],['Ready to Move'],,,"₹ 61,00,000"
"TC Palya, Bengaluru, Karnataka",['Apartments'],['1123'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['West'],"₹ 63,22,110"
"Mangalapuram, Thiruvananthapuram, Kerala",['Houses & Villas'],['1080'],['2'],['2'],['Unfurnished'],['New Launch'],,['East'],"₹ 34,50,000"
"Kankarkhera, Meerut, Uttar Pradesh",['Houses & Villas'],['1700'],['4'],['2'],['Semi-Furnished'],['Under Construction'],,['East'],"₹ 41,00,000"
"Gattahalli, Bengaluru, Karnataka",['Apartments'],['940'],['2'],['2'],['Unfurnished'],['Ready to Move'],['3'],['North'],"₹ 39,55,000"
"Puliyanam road, Angamaly, Kerala",['Houses & Villas'],['2950'],['4+'],['4+'],['Furnished'],['Ready to Move'],,['East'],"₹ 2,00,00,000"
"Sreekaryam, Thiruvananthapuram, Kerala",['Houses & Villas'],['1800'],['3'],['3'],['Furnished'],['Ready to Move'],['0'],['East'],"₹ 78,00,000"
"Nadakkapadam-Changancherry, Kottayam, Kerala",['Houses & Villas'],['1250'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],,['North'],"₹ 55,00,000"
"Madukkarai, Coimbatore, Tamil Nadu",['Houses & Villas'],['1150'],['2'],['3'],['Furnished'],['Ready to Move'],['1'],['East'],"₹ 33,00,000"
"Santoshi Nagar, Raipur, Chhattisgarh",['Builder Floors'],['800'],['2'],['2'],['Unfurnished'],['Ready to Move'],['1'],['West'],"₹ 23,50,000"
"Nedumbassery, Kochi, Kerala",['Houses & Villas'],['2400'],['4'],['4+'],['Furnished'],['Ready to Move'],,,"₹ 1,20,00,000"
"Thirumala, Thiruvananthapuram, Kerala",['Houses & Villas'],['1800'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],,,"₹ 53,00,000"
"Coimbatore Old City, Coimbatore, Tamil Nadu",['Houses & Villas'],['1000'],['2'],['3'],['Semi-Furnished'],['New Launch'],['1'],['North'],"₹ 25,00,000"
"Sector 127, Mohali, Punjab",['Builder Floors'],['990'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['North-East'],"₹ 27,50,000"
"Andheri West, Mumbai, Maharashtra",['Apartments'],['1210'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],,,"₹ 2,40,00,000"
"Gandhipuram, Coimbatore, Tamil Nadu",['Houses & Villas'],['1150'],['2'],['3'],['Furnished'],['Ready to Move'],['1'],['North'],"₹ 32,00,000"
"Sita Ram Gate, Jhajjar, Haryana",['Houses & Villas'],['2000'],['4+'],['4+'],['Furnished'],['Ready to Move'],['1'],['East'],"₹ 80,00,000"
"Thirumala, Thiruvananthapuram, Kerala",['Houses & Villas'],['2100'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],,,"₹ 80,00,000"
"Santoshi Nagar, Raipur, Chhattisgarh",['Builder Floors'],['900'],['2'],['2'],['Unfurnished'],['Under Construction'],['1'],['South-East'],"₹ 32,00,000"
"Borsi Colony, Durg, Chhattisgarh",['Houses & Villas'],['1800'],['3'],['3'],['Furnished'],['Ready to Move'],,['North'],"₹ 38,00,000"
"Ayroor, Varkala, Kerala",['Houses & Villas'],['800'],['2'],['2'],['Furnished'],['Ready to Move'],['1'],['East'],"₹ 28,00,000"
"Bhangagarh, Guwahati, Assam",['Apartments'],['1215'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['North-West'],"₹ 72,90,000"
"Coimbatore Central Railway Station, Coimbatore, Tamil Nadu",['Houses & Villas'],['1150'],['2'],['2'],['Semi-Furnished'],['New Launch'],['1'],['North-East'],"₹ 35,00,000"
"Thirumala, Thiruvananthapuram, Kerala",['Houses & Villas'],['1300'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 41,00,000"
"Elanjipra, Chalakudy, Kerala",['Houses & Villas'],['1600'],['3'],['3'],['Unfurnished'],['Ready to Move'],,['North'],"₹ 1,02,00,000"
"Jogeshwari West, Mumbai, Maharashtra",['Apartments'],['1281'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],,"₹ 3,85,00,000"
"Kand 373, Dharamsala, Himachal Pradesh",['Houses & Villas'],['100'],['4'],['3'],['Furnished'],['Ready to Move'],['0'],['North'],"₹ 10,000"
"Santoshi Nagar, Raipur, Chhattisgarh",['Houses & Villas'],['800'],['2'],['2'],['Unfurnished'],['Ready to Move'],['1'],['West'],"₹ 25,00,000"
"Mettankadu, Madukkarai, Tamil Nadu",['Houses & Villas'],['1000'],['1'],['1'],['Unfurnished'],['Under Construction'],['1'],['North'],"₹ 33,00,000"
"Sector 127, Mohali, Punjab",['Apartments'],['990'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['North-East'],"₹ 27,50,000"
"Edayanchavadi, Chennai, Tamil Nadu",['Houses & Villas'],['1170'],['2'],['3'],['Unfurnished'],['New Launch'],['3'],['South'],"₹ 35,00,000"
"Kharghar, Navi Mumbai, Maharashtra",['Apartments'],['1132'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['North-East'],"₹ 95,00,000"
"Jogeshwari West, Mumbai, Maharashtra",['Apartments'],['550'],['1'],['2'],['Unfurnished'],['Under Construction'],,,"₹ 75,00,000"
"Sector 1 Noida extension, Greater Noida, Uttar Pradesh",['Apartments'],['910'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['3'],['North-East'],"₹ 20,97,222"
"Chandlodia, Ahmedabad, Gujarat",['Apartments'],['650'],['1'],['1'],['Semi-Furnished'],['Ready to Move'],['3'],['North'],"₹ 25,00,000"
"Veppampattu railway station, Chennai, Tamil Nadu",['Houses & Villas'],['550'],['1'],['1'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 23,00,000"
"Edapally, Kochi, Kerala",['Houses & Villas'],['1560'],['4'],['3'],['Semi-Furnished'],['Ready to Move'],,['East'],"₹ 46,00,000"
"Barkheri Kalan, Bhopal, Madhya Pradesh",['Houses & Villas'],['000'],['3'],['2'],['Unfurnished'],['Under Construction'],['00'],['East'],"₹ 13,00,000"
"Kengeri Satellite Town, Bengaluru, Karnataka",['Apartments'],['1100'],['2'],['2'],['Furnished'],['Ready to Move'],['3'],['North-East'],"₹ 35,00,000"
"Siddartha Vihar, Ghaziabad, Uttar Pradesh",['Apartments'],['32'],['1'],['1'],['Semi-Furnished'],['Ready to Move'],['4'],,"₹ 11,50,000"
"Vaishali Nagar, Jaipur, Rajasthan",['Builder Floors'],['1050'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 26,99,456"
"Banjarawala, Dehradun, Uttaranchal",['Houses & Villas'],['800'],['2'],['1'],['Furnished'],['New Launch'],['1'],['West'],"₹ 36,99,999"
"Jogeshwari West, Mumbai, Maharashtra",['Apartments'],['700'],['1'],['2'],['Unfurnished'],['Ready to Move'],,,"₹ 1,20,00,000"
"Sector 127, Mohali, Punjab",['Builder Floors'],['990'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['North-East'],"₹ 27,50,000"
"Madukkarai, Coimbatore, Tamil Nadu",['Houses & Villas'],['1150'],['2'],['3'],['Semi-Furnished'],['Ready to Move'],['1'],['North-East'],"₹ 33,00,000"
"Jogeshwari West, Mumbai, Maharashtra",['Apartments'],['500'],['1'],['1'],['Unfurnished'],['Under Construction'],,,"₹ 75,00,000"
"Vaishali Nagar, Jaipur, Rajasthan",['Builder Floors'],['900'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 20,99,963"
"Sundarapuram, Coimbatore, Tamil Nadu",['Houses & Villas'],['1000'],['1'],['1'],['Unfurnished'],['Under Construction'],['1'],['North'],"₹ 33,00,000"
"Banjarawala, Dehradun, Uttaranchal",['Houses & Villas'],['1000'],['2'],['3'],['Furnished'],['New Launch'],['1'],['South'],"₹ 52,00,000"
"Jogeshwari West, Mumbai, Maharashtra",['Apartments'],['590'],['1'],['1'],['Unfurnished'],['Ready to Move'],,,"₹ 1,05,00,000"
"Kochi University, Kochi, Kerala",['Houses & Villas'],['1500'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['North'],"₹ 15,000"
"Sector 127, Mohali, Punjab",['Apartments'],['990'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['North-West'],"₹ 27,50,000"
"Scheme No 2, Alwar, Rajasthan",['Apartments'],['1265'],['3'],['2'],['Furnished'],['New Launch'],['2'],['South'],"₹ 95,00,000"
"Jogeshwari West, Mumbai, Maharashtra",['Apartments'],['700'],['1'],['2'],['Unfurnished'],['Under Construction'],,,"₹ 98,00,000"
"Mohan Garden, Delhi, Delhi",['Apartments'],['300'],['1'],['1'],['Semi-Furnished'],['Ready to Move'],['1'],['South-West'],"₹ 6,99,999"
"Sector 115, Mohali, Punjab",['Builder Floors'],['650'],['1'],['1'],['Semi-Furnished'],['Ready to Move'],['1'],['North-East'],"₹ 17,90,000"
"Uttam Nagar, Delhi, Delhi",['Builder Floors'],['425'],['1'],['1'],['Semi-Furnished'],['Ready to Move'],['1'],['North-East'],"₹ 12,51,551"
"Navsari Bazar Area, Surat, Gujarat",['Apartments'],['782'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['5'],['East'],"₹ 14,00,000"
"Taruwala, Paonta Sahib, Himachal Pradesh",['Houses & Villas'],['5'],['4+'],['4+'],['Unfurnished'],['Ready to Move'],,['North-West'],"₹ 1,60,00,000"
"Jogeshwari West, Mumbai, Maharashtra",['Apartments'],['1120'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['10'],,"₹ 1,70,00,000"
"Sector 1 Noida extension, Greater Noida, Uttar Pradesh",['Apartments'],['855'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['4'],['North-East'],"₹ 20,45,625"
"Vaishali Nagar, Jaipur, Rajasthan",['Builder Floors'],['1150'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 29,99,452"
"Edapally, Kochi, Kerala",['Houses & Villas'],['700'],['2'],['3'],['Semi-Furnished'],['Ready to Move'],,['East'],"₹ 23,00,000"
"Mohishila, Asansol MC, West Bengal",['Apartments'],['1191'],['3'],['2'],['Semi-Furnished'],['New Launch'],['3'],['North-East'],"₹ 27,98,850"
"Jogeshwari West, Mumbai, Maharashtra",['Apartments'],['1150'],['2'],['2'],['Unfurnished'],['Ready to Move'],,,"₹ 1,60,00,000"
"Banjarawala, Dehradun, Uttaranchal",['Houses & Villas'],['1200'],['4'],['3'],['Furnished'],['New Launch'],['2'],['East'],"₹ 54,99,999"
"Narshamuda Village, Asansol MC, West Bengal",['Apartments'],['1172'],['3'],['2'],['Semi-Furnished'],['Under Construction'],['3'],['South-West'],"₹ 27,54,200"
"Santi Nagar, Bhiwani, Haryana",['Houses & Villas'],['1070'],['3'],['3'],['Furnished'],['Ready to Move'],['1'],['South'],"₹ 48,00,000"
"Thykoodam, Kochi, Kerala",['Houses & Villas'],['2500'],['4'],['4'],['Unfurnished'],['Ready to Move'],,,"₹ 1,48,00,000"
"Kadavanthra, Kochi, Kerala",['Houses & Villas'],['4000'],['4'],['4+'],['Furnished'],['Ready to Move'],,,"₹ 5,50,00,000"
"Chilavannur, Kochi, Kerala",['Houses & Villas'],['2400'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],,,"₹ 2,35,00,000"
"Riverside Township, Asansol MC, West Bengal",['Apartments'],['1327'],['3'],['2'],['Semi-Furnished'],['Under Construction'],['4'],['South-East'],"₹ 31,18,450"
"Indirapuram, Ghaziabad, Uttar Pradesh",['Builder Floors'],['1250'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['North-East'],"₹ 54,85,000"
