location,house_type,sqft,bedrooms,furnishing,constr_info,floor_no,facing,price
 Kerala,Houses & Villas,1350.0,3.0,Semi-Furnished,Ready to Move,,,4500000.0
 Uttar Pradesh,Apartments,2398.0,4.0,Unfurnished,Ready to Move,0.0,,8000000.0
 Gujarat,Apartments,0.0,3.0,Unfurnished,Under Construction,7.0,East,3051000.0
 Gujarat,Apartments,0.0,3.0,Unfurnished,Under Construction,7.0,East,3051000.0
 Gujarat,Apartments,0.0,2.0,Unfurnished,Ready to Move,1.0,West,3500000.0
 Gujarat,Apartments,0.0,3.0,Unfurnished,Under Construction,7.0,East,3051000.0
 Kerala,Houses & Villas,1700.0,3.0,Semi-Furnished,Ready to Move,2.0,East,6600000.0
 Kerala,Houses & Villas,1500.0,3.0,Unfurnished,Under Construction,,East,4250000.0
 Andhra Pradesh,Apartments,1050.0,3.0,Furnished,Ready to Move,3.0,East,4100000.0
 Rajasthan,Houses & Villas,4500.0,4.0,Unfurnished,Ready to Move,3.0,South-East,13000000.0
 Delhi,Builder Floors,800.0,3.0,Semi-Furnished,Ready to Move,1.0,East,3011000.0
 Kerala,Houses & Villas,1500.0,3.0,Unfurnished,Under Construction,,East,4250000.0
 Haryana,Builder Floors,1200.0,3.0,Semi-Furnished,Ready to Move,1.0,,5800000.0
 Maharashtra,Apartments,1685.0,3.0,Furnished,Ready to Move,9.0,East,7989000.0
 Maharashtra,Apartments,1064.0,2.0,Semi-Furnished,Ready to Move,5.0,East,5180000.0
 Maharashtra,Apartments,974.0,2.0,Semi-Furnished,Ready to Move,9.0,East,5260000.0
 Punjab,Apartments,2200.0,3.0,Semi-Furnished,Ready to Move,7.0,North,10600000.0
 Gujarat,Apartments,1400.0,3.0,Semi-Furnished,Ready to Move,2.0,East,4250000.0
 Delhi,Builder Floors,450.0,1.0,Semi-Furnished,Ready to Move,,,1450000.0
 Gujarat,Apartments,1395.0,2.0,Semi-Furnished,Ready to Move,2.0,East,4150000.0
 Kerala,Houses & Villas,2700.0,4.0,Semi-Furnished,Ready to Move,0.0,,12500000.0
 Punjab,Builder Floors,850.0,2.0,Semi-Furnished,Ready to Move,3.0,North-East,1890000.0
 Haryana,Builder Floors,1350.0,3.0,Semi-Furnished,Ready to Move,2.0,East,3700000.0
 Haryana,Builder Floors,1350.0,3.0,Semi-Furnished,Ready to Move,1.0,East,5500000.0
 Gujarat,Apartments,625.0,1.0,Unfurnished,Ready to Move,,,1700000.0
 Gujarat,Apartments,1950.0,3.0,Unfurnished,Ready to Move,,East,6800000.0
 Gujarat,Houses & Villas,1500.0,3.0,Unfurnished,Under Construction,,East,5311000.0
 Gujarat,Apartments,1110.0,2.0,Semi-Furnished,Ready to Move,,North,2900000.0
 Gujarat,Apartments,1130.0,2.0,Unfurnished,Ready to Move,,East,3400000.0
 Gujarat,Apartments,1209.0,2.0,Unfurnished,Under Construction,,East,4775000.0
 Kerala,Houses & Villas,1250.0,3.0,Semi-Furnished,New Launch,1.0,West,5450000.0
 Uttar Pradesh,Apartments,300.0,1.0,Unfurnished,New Launch,0.0,East,1200000.0
 Tamil Nadu,Apartments,543.0,1.0,Unfurnished,Ready to Move,1.0,North,1999997.0
 Gujarat,Apartments,1233.0,2.0,Semi-Furnished,Ready to Move,,East,4100000.0
 Gujarat,Apartments,712.0,1.0,Unfurnished,Ready to Move,,East,2400000.0
 Gujarat,Apartments,771.0,1.0,Unfurnished,Under Construction,,East,2711000.0
